date,client,origins,origins_with_good_inp,origins_with_good_cls,origins_with_good_ttfb,origins_with_good_fcp,origins_with_good_lcp,origins_with_any_inp,origins_with_any_cls,origins_with_any_ttfb,origins_with_any_fcp,origins_with_any_lcp,origins_with_good_cwv,origins_eligible_for_cwv,pct_good_ttfb,pct_good_fcp,pct_good_lcp,pct_good_cls,pct_good_inp,pct_eligible_origins_with_good_cwv
2024-04-01,desktop,4534,3739,2032,690,941,1505,4067,4529,4465,4534,4463,787,4463,0.15453527435610304,0.20754300838112041,0.33721711853013669,0.44866416427467432,0.9193508728792722,0.17633878557024424
2024-04-01,mobile,4516,1349,2534,189,322,678,3390,3804,3771,3810,3756,316,3756,0.050119331742243436,0.084514435695538057,0.18051118210862621,0.66614090431125128,0.39793510324483777,0.076904474002418385
2024-03-01,desktop,4505,3752,2036,656,925,1466,4054,4502,4438,4505,4441,795,4441,0.14781433077963047,0.20532741398446172,0.33010583201981536,0.45224344735673033,0.92550567340897882,0.17901373564512496
2024-03-01,mobile,4462,1268,2494,179,316,686,3369,3787,3754,3791,3736,299,3735,0.04768247202983484,0.0833553152202585,0.18361884368308351,0.65856878795880647,0.37637281092312258,0.074199806013579048
2024-05-01,desktop,4468,3689,1968,596,904,1378,4010,4454,4401,4468,4388,723,4382,0.13542376732560782,0.20232766338406447,0.31403828623518687,0.44185002245172877,0.9199501246882793,0.16499315381104518
2024-05-01,mobile,4559,1323,2481,169,280,568,3385,3827,3792,3834,3767,234,3766,0.044567510548523204,0.073030777256129373,0.15078311653835944,0.64828847661353539,0.39084194977843428,0.058175724203974141
2024-02-01,desktop,4535,3764,2076,732,942,1483,4087,4525,4464,4535,4463,799,4459,0.16397849462365591,0.20771775082690189,0.33228769885727089,0.45878453038674033,0.92096892586249079,0.17918815877999553
2024-02-01,mobile,4375,1134,2398,207,303,651,3359,3755,3724,3763,3707,249,3705,0.055585392051557464,0.0805208610151475,0.1756137038036148,0.63861517976031956,0.33760047633224172,0.06183574879227053
2024-01-01,desktop,4471,3723,2066,704,945,1463,4043,4464,4388,4471,4396,766,4394,0.16043755697356427,0.21136211138447775,0.33280254777070062,0.46281362007168458,0.92085085332673755,0.17432862994993173
2024-01-01,mobile,4394,1154,2420,212,316,664,3365,3739,3704,3744,3695,271,3694,0.057235421166306692,0.084401709401709407,0.179702300405954,0.64723188018186684,0.34294205052005944,0.065262670678083778
2024-06-01,desktop,4410,3755,1957,637,1146,1645,3975,4402,4341,4410,4346,841,4345,0.14674038240036857,0.25986394557823128,0.37850897376898296,0.44457064970467969,0.94465408805031448,0.19355581127733026
2024-06-01,mobile,4564,1409,2488,176,338,692,3368,3772,3745,3778,3738,314,3738,0.046995994659546063,0.089465325569084167,0.18512573568753343,0.6595970307529162,0.41834916864608074,0.077143539527107716